GSM	name
GSM5657238	CRC-PKU-13-qia
GSM5657239	CRC-PKU-14-qia
GSM5657240	CRC-PKU-15-qia
GSM5657241	CRC-PKU-16-qia
GSM5657242	CRC-PKU-17-qia
GSM5657243	CRC-PKU-19-qia
GSM5657244	CRC-PKU-20-qia
GSM5657245	CRC-PKU-21-qia
GSM5657246	CRC-PKU-23-qia
GSM5657247	CRC-PKU-24-qia
GSM5657248	CRC-PKU-27-qia
GSM5657249	CRC-PKU-28-qia
GSM5657250	CRC-PKU-29-qia
GSM5657251	CRC-PKU-30-qia
GSM5657252	CRC-PKU-31-qia
GSM5657253	CRC-PKU-32-qia
GSM5657254	NC-PKU-10-qia
GSM5657255	NC-PKU-11-qia
GSM5657256	NC-PKU-12-qia
GSM5657257	NC-PKU-13-qia
GSM5657258	NC-PKU-14-qia
GSM5657259	NC-PKU-9-qia
GSM5657260	NC-PKU-mix0-qia
GSM5657261	NC-PKU-mix15-qia
GSM5657262	NC-PKU-mix19-qia
GSM5657263	NC-PKU-mix20-qia
GSM5657264	NC-PKU-mix21-qia
GSM5657265	NC-PKU-mix22-qia
GSM5657266	NC-PKU-mix23-qia
GSM5657267	NC-PKU-mix24-qia
GSM5657268	NC-PKU-mix25-qia
GSM5657269	NC-PKU-mix26-qia
GSM5657270	NC-PKU-mix27-qia
GSM5657271	NC-PKU-mix28-qia
GSM5657272	NC-PKU-mix29-qia
GSM5657273	NC-PKU-mix30-qia
GSM5657274	STAD-PKU-16-qia
GSM5657275	STAD-PKU-18-qia
GSM5657276	STAD-PKU-35-qia
GSM5657277	STAD-PKU-36-qia
GSM5657278	STAD-PKU-13-qia
GSM5657279	STAD-PKU-15-qia
GSM5657280	STAD-PKU-17-qia
GSM5657281	STAD-PKU-19-qia
GSM5657282	STAD-PKU-21-qia
GSM5657283	STAD-PKU-22-qia
GSM5657284	STAD-PKU-23-qia
GSM5657285	STAD-PKU-25-qia
GSM5657286	STAD-PKU-33-qia
